Country Name,Country Code,Series Name,Series Code,Year,Value
Cuba,CUB,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,1.08619481429573
Cuba,CUB,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
Cuba,CUB,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,86.3174491941135
Cuba,CUB,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,12.5963559915907
Curacao,CUW,Coal,EG.ELC.COAL.ZS,1973.0,0.0
Curacao,CUW,Natural Gas,EG.ELC.NGAS.ZS,1973.0,0.0
Curacao,CUW,Oil,EG.ELC.PETR.ZS,1973.0,100.0
Curacao,CUW,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,0.0
Curacao,CUW,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
Curacao,CUW,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,100.0
Curacao,CUW,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,0.0
Cyprus,CYP,Coal,EG.ELC.COAL.ZS,1973.0,0.0
Cyprus,CYP,Natural Gas,EG.ELC.NGAS.ZS,1973.0,0.0
Cyprus,CYP,Oil,EG.ELC.PETR.ZS,1973.0,100.0
Cyprus,CYP,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,0.0
Cyprus,CYP,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
Cyprus,CYP,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,100.0
Cyprus,CYP,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,0.0
Czechia,CZE,Coal,EG.ELC.COAL.ZS,1973.0,85.1435371836596
Czechia,CZE,Natural Gas,EG.ELC.NGAS.ZS,1973.0,0.932627386214601
Czechia,CZE,Oil,EG.ELC.PETR.ZS,1973.0,11.2983921892456
Czechia,CZE,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,2.62544324088017
Czechia,CZE,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
Czechia,CZE,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,97.3745567591198
Czechia,CZE,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,0.0
Denmark,DNK,Coal,EG.ELC.COAL.ZS,1973.0,35.8002092050209
Denmark,DNK,Natural Gas,EG.ELC.NGAS.ZS,1973.0,0.0
Denmark,DNK,Oil,EG.ELC.PETR.ZS,1973.0,64.0742677824268
Denmark,DNK,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,0.125523012552301
Denmark,DNK,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
Denmark,DNK,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,99.8744769874477
Denmark,DNK,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,0.0
Dominican Republic,DOM,Coal,EG.ELC.COAL.ZS,1973.0,0.0
Dominican Republic,DOM,Natural Gas,EG.ELC.NGAS.ZS,1973.0,0.0
Dominican Republic,DOM,Oil,EG.ELC.PETR.ZS,1973.0,73.0632235084595
Dominican Republic,DOM,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,23.5975066785396
Dominican Republic,DOM,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
Dominican Republic,DOM,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,73.0632235084595
Dominican Republic,DOM,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,3.33926981300089
Ecuador,ECU,Coal,EG.ELC.COAL.ZS,1973.0,0.0
Ecuador,ECU,Natural Gas,EG.ELC.NGAS.ZS,1973.0,0.0
Ecuador,ECU,Oil,EG.ELC.PETR.ZS,1973.0,65.3662420382166
Ecuador,ECU,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,34.6337579617834
Ecuador,ECU,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
Ecuador,ECU,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,65.3662420382166
Ecuador,ECU,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,0.0
"Egypt, Arab Rep.",EGY,Coal,EG.ELC.COAL.ZS,1973.0,0.0
"Egypt, Arab Rep.",EGY,Natural Gas,EG.ELC.NGAS.ZS,1973.0,0.0
"Egypt, Arab Rep.",EGY,Oil,EG.ELC.PETR.ZS,1973.0,36.392795460153
"Egypt, Arab Rep.",EGY,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,63.607204539847
"Egypt, Arab Rep.",EGY,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
"Egypt, Arab Rep.",EGY,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,36.392795460153
"Egypt, Arab Rep.",EGY,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,0.0
El Salvador,SLV,Coal,EG.ELC.COAL.ZS,1973.0,0.0
El Salvador,SLV,Natural Gas,EG.ELC.NGAS.ZS,1973.0,0.0
El Salvador,SLV,Oil,EG.ELC.PETR.ZS,1973.0,46.3467829880044
El Salvador,SLV,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,53.6532170119956
